ticker,days vs spy,alpha vs spy,beta vs spy,days vs vgt,alpha vs vgt,beta vs vgt
PPH,1825,-0.04909859206355425,0.8704957332093932,1825,-0.05733013379605905,0.5749362369481416
PPLT,1825,-0.11883280010136948,0.23117239893618632,1825,-0.11824068563114429,0.14289425938895628
PRF,1825,-0.017607759504226342,0.9703268927399622,1825,-0.029227374502922027,0.6494828653490612
PRFZ,1825,-0.02376616972348581,1.0238153285489324,1825,-0.04819338396509754,0.7281533884573801
PRN,1825,0.005525171918165398,1.0495267567521562,1825,-0.023684605298105066,0.7611288200992654
PSCC,1825,0.05245546131385493,0.6992334322786997,1825,0.04574457900414005,0.4621708254158213
PSCD,1825,-0.009064395353723853,0.9393041465152114,1825,-0.02787451287128723,0.6553611979866256
PSCE,1825,-0.5160859495119993,1.51288941019535,1825,-0.5214339267370279,0.9676556683898629
PSCF,1825,-0.015493906553114634,0.8651103765218627,1825,-0.02133403369316925,0.5631331091018947
PSCH,1825,0.11179168974083978,1.0200648068985694,1825,0.07845794584836248,0.7571816667729435
PSCI,1825,0.009278371907138398,1.0517914440517844,1825,-0.016396073309295593,0.7500930691287051
PSCM,1825,-0.06358043765846035,0.9757770650014417,1825,-0.07832874874278689,0.6639243107681967
PSCT,1825,0.0699598444994762,1.127249090007874,1825,0.00937188060843818,0.9204275660189256
PSCU,1825,0.018803595536093967,0.5869085327137192,1825,0.016051673201783388,0.3777773021141319
PSI,1825,0.14431389908289155,1.2843108773217398,1825,0.0542615151633636,1.122741501845439
PSJ,1825,0.09262414379553563,1.1211698531927525,1825,0.020392835966413104,0.9576380178080943
PSK,1825,-0.03182802252067149,0.15209401044095147,1825,-0.03326095687200462,0.10043487868232777
PSL,1825,0.04262548744134479,0.7298894884060232,1825,0.029607466747687265,0.5036188408689068
PSP,1825,-0.08720506817701137,0.9128524956996757,1825,-0.10574551561582557,0.6378218360419821
PSQ,1825,-0.07288768169107587,-1.1434460134950046,1825,-0.010377784165681704,-0.9373570751805369
PSR,1825,0.03525105256866545,0.49051011123877564,1825,0.037885743915046496,0.2983420562391882
PST,1825,-0.12930828727761626,0.29548853675275166,1825,-0.1339552789975604,0.20168929130669067
PSTL,175,-0.11986300701424554,0.2980074263957644,175,-0.1457334158735383,0.22217447769520932
QABA,1825,-0.009084393425836314,0.9526919182271458,1825,-0.015295246686505448,0.6193663158940219
QAI,1825,-0.02406530954175152,0.2500184324769018,1825,-0.03170663295738967,0.18372252648441287
QCLN,1825,0.04074835710133593,1.2556696835087418,1825,-0.01720763518099456,0.9916936831543739
QDEF,1785,-0.006050182603824795,0.8092745936644741,1785,-0.01789427076511158,0.550745643724945
QDF,1785,-0.020547216806011275,0.9006530270740558,1785,-0.034609274616253356,0.6160044405782565
QDYN,1785,0.001766483668215031,0.7802538524213329,1785,-0.011960742932310808,0.5390465596746006
QID,1825,-0.1416593814303544,-2.281455886997541,1825,-0.01705125446354162,-1.869854426321492
QLD,1825,0.12005752771588658,2.2807616005586357,1825,-0.0049164615676875354,1.870708047397202
